restaurant,dish_name,description,price
Subway (1324 Douglas St),#24 Chimichurri Veggie,No description,$9.42
Subway (1324 Douglas St),#25 Shawarma Chicken,No description,$14.62
Subway (1324 Douglas St),#25 Shawarma Chicken,No description,$14.62
Subway (1324 Douglas St),Jerk-Spiced Chicken,No description,$13.55
Subway (1324 Douglas St),Jerk-Spiced Chicken,No description,$13.55
Subway (1324 Douglas St),#5 Chicken Rancher,No description,$11.08
Subway (1324 Douglas St),#1 Canuck Classic,No description,$9.19
Subway (1324 Douglas St),#8 Steak'n Bacon,No description,$11.78
Subway (1324 Douglas St),#3 Turkey Rancher,No description,$10.49
Subway (1324 Douglas St),#6 Teriyaki Crunch,No description,$10.37
Subway (1324 Douglas St),#9 Stampede Brisket,No description,$12.49
Nubo Japanese Tapas,Avocado Green salad,No description,$17.00
Nubo Japanese Tapas,Tuna Tataki Salad,No description,$20.00
Nubo Japanese Tapas,Pacific Sashimi Salad,No description,$21.00
Nubo Japanese Tapas,Egg & Potato Salad,No description,$12.00
Nubo Japanese Tapas,Wild Salmon Sashimi (2 pcs),No description,$8.50
Nubo Japanese Tapas,Egg (Tamago) Sashimi (2 pcs),No description,$5.50
Nubo Japanese Tapas,Tuna Sashimi (2 pcs),No description,$8.50
Nubo Japanese Tapas,Tuna Belly (Toro) Sashimi (2 pcs),No description,$11.00
Nubo Japanese Tapas,Octopus (Tako) Sashimi (2 pcs),No description,$8.50
Nubo Japanese Tapas,Yellowtail (Hamachi) Sashimi (2 pcs),No description,$12.00
Nubo Japanese Tapas,Spot Prawn (Ama Ebi) Sashimi (2 pcs),No description,$12.00
Nubo Japanese Tapas,Mackerel (Saba) Sashimi (2 pcs),No description,$7.50
Nubo Japanese Tapas,Ponzu Tuna Tataki Sashimi (2 pcs),No description,$10.00
Nubo Japanese Tapas,Scallop (Hotate) Sashimi (2 pcs),No description,$10.00
Nubo Japanese Tapas,Wild Salmon Nigiri (2 pcs),No description,$8.50
Nubo Japanese Tapas,Tuna Nigiri (2 pcs),No description,$8.50
Nubo Japanese Tapas,Egg (Tamago) Nigiri (2 pcs),No description,$5.50
Nubo Japanese Tapas,Octopus (Tako) Nigiri (2 pcs),No description,$8.50
Nubo Japanese Tapas,Baby Scallop Nigiri (2 pcs),No description,$7.50
Nubo Japanese Tapas,Mackerel (Saba) Nigiri (2 pcs),No description,$7.50
Golden City Restaurant,Egg Roll (Each),No description,$3.00
Golden City Restaurant,Pan Fried Dumplings (10 pcs),No description,$15.95
Golden City Restaurant,Deep Fried Wonton with Sweet & Sour Sauce,No description,$12.95
Golden City Restaurant,Honey Garlic Pork,No description,$16.95
Golden City Restaurant,Dry Garlic Pork,No description,$16.95
Golden City Restaurant,Deep Fried Chicken Wings (10 pcs),No description,$17.95
Golden City Restaurant,Minced Chicken with Cream Corn,No description,$5.95
Golden City Restaurant,Mixed Seafood with Tofu Soup,No description,$8.95
Golden City Restaurant,Wonton Soup (Pork),No description,$5.95
Golden City Restaurant,"Green Pea, Mushroom, & Egg Swirl Soup",No description,$5.95
Golden City Restaurant,Hot & Sour Soup,No description,$5.95
Golden City Restaurant,Wor Wonton Soup (Shrimp & BBQ Pork) (Large),No description,$20.95
Golden City Restaurant,Chicken Chow Mein,No description,$16.95
Golden City Restaurant,House Special Chow Mein,No description,$18.95
Golden City Restaurant,Vegetable Chow Mein,No description,$15.95
Golden City Restaurant,Beef Chow Mein,No description,$16.95
Golden City Restaurant,Shrimp Chow Mein,No description,$18.95
Golden City Restaurant,Mushroom Chow Mein,No description,$15.95
Golden City Restaurant,Beef & Tomato Chow Mein,No description,$17.95
Golden City Restaurant,B.B.Q. Pork Chow Mein,No description,$16.95
Doner Delight,Lamb Shish Platter,No description,$24.50
Doner Delight,Lamb Shish Sandwich,No description,$21.50
Doner Delight,Lamb Shish Wrap,No description,$21.50
Doner Delight,Family Size Doner Meal,No description,$54.75
Doner Delight,Family Size Kofteh Meal,No description,$54.75
Doner Delight,Delight's Family Special,No description,$59.75
Doner Delight,Family Special Wrap Meal,No description,$54.75
Doner Delight,Chicken BBQ Platter,No description,$20.75
Doner Delight,Chicken BBQ Sandwich,No description,$17.50
Doner Delight,Chicken BBQ Wrap,No description,$17.50
Doner Delight,Double Pistachio Baklava (per/piece),No description,$1.75
Doner Delight,Sobiyet Baklava (per piece),No description,$1.75
Doner Delight,Pistachio Filled Mussel Shape Baklava (per piece),No description,$1.75
Doner Delight,Pistachio-filled Kadayif (per piece),No description,$3.50
Doner Delight,3 pcs Double Pistachio Baklava (3 Pieces),No description,$5.25
Doner Delight,3 pcs Pistachio Mussel Shaped Baklava (3 pieces),No description,$5.25
Doner Delight,3 pcs Pistachio Filled Kadayif (3 Piece),No description,$10.50
